Company_name,City,Country,Business,Products,Tags,Fax,Telephone,Email,Web_Site,WhatsApp,Mobile,Linkedin
AGRICOLA FELICE O.P.,Tursi, Italy,['Exporter - Exporter'],"[{'GLOBALGAP': {'Certificator agency': False, 'Expiration date': False}}]",[],+390835810063,+390835810061,agricolafelice@heraclea.it,-,-,+39336281820,-
AGRICOPER di LITURRI GIANNI S.r.l.,Noicattaro, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Grapes']",+390804780828,+390804780081,info@agricoper.it,www.agricoper.it,-,+393486550478,-
ALBANI Az. Agr.,Scoglitti, Italy,['Exporter - Exporter'],"[{'Tomatoes on the vine': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cherry tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Cherry tomatoes', 'Tomatoes on the vine']",-,-,info@albani-group.it,www.albani-group.it,-,+393355454790,-
ALEGRA Soc. Coop. Agr.,Faenza, Italy,['Exporter - Exporter'],"[{'Fresh fruits': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Integrated farming', 'Organic farming', 'Fresh fruits', 'Pulses', 'Vegetables', 'Vegetables']",+390546622513,+390546624401,info@alegrait.com,www.alegrait.com,-,+393355218439,-
AMAGLIO S.r.l.,Milano, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+39025456495,+39025456491,milano@fungotrading.com,-,-,-,-
ANASTASIA Az. Agr. di STEFANO VITTO,Polignano a Mare, Italy,['Exporter - Exporter'],"[{'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Pulses', 'Vegetables', 'Potatoes', 'Grapes', 'Vegetables']",+390804248142,+390804249977,az_anastasia@libero.it,-,-,+393395216267,-
ANCHISE PAOLI S.p.A.,Firenze, Italy,"['Exporter - Exporter', 'Importer - Importer', 'Wholesaler - Wholesale']","[{'Bananas': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Clementines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Strawberries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Oranges': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Artichokes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Aubergines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peppers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Oranges', 'Bananas', 'Artichokes', 'Clementines', 'Conventional farming', 'Strawberries', 'Aubergines', 'Peppers', 'Tomatoes', 'Plums', 'Grapes']",+390554379124,+39055416840,anchisepaoli@pec.it,www.anchisepaoli.com,-,-,-
"ANCONA F.LLI Az. Agr. di GIOVANNI, ONOFRIO E MARIO s.s.",Policoro, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Strawberries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Figs': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cherries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Apricots', 'Cherries', 'Conventional farming', 'Figs', 'Strawberries']",+390835972473,+390835981991,anconapaola@libero.it,-,-,-,-
"ANCONA F.LLI Az. Agr. di GIOVANNI, ONOFRIO E MARIO s.s.",Monopoli, Italy,['Exporter - Exporter'],[],[],-,-,-,-,-,+393939257172,-
ANDERGASSEN FRUITS S.a.s. di THOMAS GEIER & CO.,Bolzano, Italy,['Exporter - Exporter'],[],[],+390471981458,+390471977508,info@afruits.it,www.pepinogold.it,-,+393485502448,-
ANGIULLI ANGELO di VITO ANGIULLI,Monopoli, Italy,['Exporter - Exporter'],"[{'Peas': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Beet': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Celeries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Beet', 'Conventional farming', 'Potatoes', 'Peas', 'Tomatoes', 'Celeries']",+39080747186,+39080748049,angiulliangelo@libero.it,-,-,+39337822492,-
APAL O.P. Società Consortile a r.l.,Carlentini, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Citrus fruits': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Citrus fruits', 'Apricots', 'Integrated farming', 'Conventional farming', 'Nectarines', 'Pears']",+39095901123,+39095901366,apal.lentini@tin.it,www.apalop.com,-,-,-
APO SCALIGERA Soc. Coop. a r.l.,S. Maria di Zevio, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Fresh fruits': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Integrated farming', 'Organic farming', 'Fresh fruits', 'Pulses', 'Vegetables', 'Vegetables']",+390456068315,+390456068311,commerciale@aposcaligera.it,www.aposcaligera.it,-,-,-
APOFRUIT ITALIA,Pievesestina di Cesena, Italy,"['Exporter - Exporter', 'Services - Consortium protection and other']","[{'Fresh fruits': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Integrated farming', 'Organic farming', 'Fresh fruits', 'Pulses', 'Vegetables', 'Vegetables']",+390547414166,+390547414111,gianluca.casadio@apofruit.it,www.apofruit.it,-,+393487810367,-
APOFRUIT ITALIA,San Martino Spino, Italy,['Exporter - Exporter'],[],[],-,+390547414111,info@apofruit.it,http://www.apofruit.it,-,-,-
APOFRUIT ITALIA,Donnalucata, Italy,['Exporter - Exporter'],"[{'Cucumbers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Aubergines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peppers': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Courgettes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Cucumbers', 'Conventional farming', 'Aubergines', 'Peppers', 'Tomatoes', 'Courgettes']",+390932930988,+390932856014,alfonso.daquila@apofruit.it,-,-,+393498817611,-
APOFRUIT ITALIA,Vignola, Italy,['Exporter - Exporter'],"[{'ISO 14001': {'Certificator agency': False, 'Expiration date': False}}, {'ISO 9001:2000': {'Certificator agency': False, 'Expiration date': False}}]",[],+39059763942,+390597700811,-,-,-,-,-
APULIA FELIX S.r.l.,Margherita di Savoia, Italy,['Exporter - Exporter'],"[{'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Carrots': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Pumpkins': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Onions': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Carrots', 'Onions', 'Organic farming', 'Conventional farming', 'Potatoes', 'Grapes', 'Pumpkins']",+390883657236,+390883656267,info@apuliafelix.com,www.apuliafelix.com,-,-,-
ARANCIA ROSSA Az. Agr. dei F.LLI PIRRACCHIO,Palagonia, Italy,['Exporter - Exporter'],"[{'Melons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Citrus fruits': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Artichokes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Citrus fruits', 'Artichokes', 'Conventional farming', 'Melons', 'Grapes']",-,-,info@aranciarossa.info,www.aranciarossa.info,-,+393386563473,-
AURORA SOCIETA' COOPERATIVA AGRICOLA O.P.,Pachino, Italy,['Exporter - Exporter'],"[{'Melons': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Watermelons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Green beans': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Beans Borlotti': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cherry tomatoes': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Courgettes': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Watermelons', 'Beans Borlotti', 'Integrated farming', 'Conventional farming', 'Green beans', 'Melons', 'Tomatoes', 'Cherry tomatoes', 'Courgettes']",+390931592777,+390931594389,coaurora@tin.it,www.coopaurora.net,-,+393339242259,-
BARONI GIOVANNI S.r.l.,Milano, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390254103595,+39025450144,baronigiovanni@promopec.it,-,-,+393487803599,-
BELFRUTTA S.r.l.,Udine, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']","[{'ISO 9001:2008': {'Certificator agency': False, 'Expiration date': False}}]",[],+390432603090,+390432521595,pavangiuseppe@belfrutta-srl.191.it,-,-,+393356360408,-
BRAGHIROLI MARIO,Casumaro, Italy,['Exporter - Exporter'],"[{'Pears': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Pears']",+390516848578,+39053591449,braghiroliandrea@libero.it,-,-,-,-
BRERO ANTONINO & FIGLI s.s.,Savigliano, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Kiwi', 'Apples']",+390172726540,+390172716018,brerofrutta@leonardomail.com,-,-,+393356762614,-
BRERO F.LLI GIUSEPPE E MAURIZIO S.S. Soc. Agr.,Fossano, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Apples': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Conventional farming', 'Kiwi', 'Apples', 'Nectarines', 'Plums']",+390172693330,+390172693461,info@brero.it,-,-,+393358307521,-
BUONAFRUIT S.r.l. Soc. Agricola,Floridia, Italy,['Exporter - Exporter'],"[{'Oranges': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Lemons': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Oranges', 'Citrons', 'Organic farming', 'Conventional farming', 'Lemons']",+390931544798,+390931545000,buonafruit@virgilio.it,www.agricolabuonafruit.it,-,+393358118658,-
C.E.O.R. COOPERATIVA ESPORTATORI ORTOFRUTTICOLI,Lugo, Italy,['Exporter - Exporter'],"[{'Apricots': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Apples': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Citrus fruits': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Citrus fruits', 'Apricots', 'Integrated farming', 'Organic farming', 'Conventional farming', 'Kiwi', 'Apples', 'Nectarines', 'Pears', 'Plums', 'Grapes']",+39054534955,+39054532290,alexander.mazzotti@ceorgroup.it,-,-,-,-
CALCARE S.r.l. Az. Agr.,Noicattaro, Italy,['Exporter - Exporter'],"[{'Cherries': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Cherries', 'Conventional farming', 'Pulses', 'Vegetables', 'Tomatoes', 'Grapes']",+390804782180,+390804781311,info@calcaresrl.it,www.calcaresrl.it,-,-,-
CAMPISI GIUSEPPE Az. Agr.,Siracusa, Italy,['Exporter - Exporter'],"[{'Lemons': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Lettuce': {'Convention.': False, 'Integrated': True, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Citrons', 'Integrated farming', 'Organic farming', 'Lettuce', 'Lemons', 'Potatoes']",+390931710077,+390931710076,alessandracampisi@tin.it,www.agricolturacampisi.it,-,+393389470179,-
CANTATORE ANTONIO & FIGLI S.r.l.,Ruvo di Puglia, Italy,['Exporter - Exporter'],"[{'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Conventional farming', 'Grapes']",-,-,studiocant@libero.it,-,-,+393409369214,-
CAPUTO Soc. Agr. S.r.l.,Carruba di Riposto, Italy,"['Exporter - Exporter', 'Producer - Producer', 'Wholesaler - Producer', 'Wholesaler - Wholesale']","[{'Melons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Watermelons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Fennels': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Potatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Watermelons', 'Conventional farming', 'Fennels', 'Melons', 'Potatoes']",-,-,caputogiuseppa@libero.it,-,-,+393485257326,-
CARLOBERRA S.r.l.,Milano, Italy,"['Exporter - Exporter', 'Wholesaler - Wholesale']",[],[],+390255193040,+390254121459,-,-,-,-,-
CATENARO ITALO S.r.l.,Sant'Apollinare Chietino, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Apricots': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Integrated farming', 'Kiwi', 'Nectarines', 'Plums', 'Grapes']",+39087258463,+39087258467,i.catenaro@tiscali.it,www.catenaroitalo.com,-,+393485178728,-
CECCARELLI GIULIO S.r.l.,Longiano, Italy,"['Exporter - Exporter', 'Importer - Importer', 'Wholesaler - Wholesale']","[{'Apricots': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Pears': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Strawberries': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Yellow Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}, {'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Apricots', 'Organic farming', 'Conventional farming', 'Strawberries', 'Kiwi', 'Yellow Kiwi', 'Nectarines', 'Pears', 'Plums', 'Grapes']",+39054759352,+39054753055,commerciale@juliusfruit.it,www.juliusfruit.it,-,-,-
